ID;Titulo;Ruta_Archivo;Genero;Calificacion
083;Rickets;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Rickets.mp3;Nu Metal;7
084;Please Please Please Let Me Get What I Want (2005 Remaster);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Please Please Please Let Me Get What I Want (2005 Remaster).mp3;Alternative Rock;8
085;Entombed;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Entombed.mp3;Shoegaze Metal;9
086;Mascara;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Mascara.mp3;Nu Metal;8
087;Deftones - Cherry Waves (Lyrics);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Deftones - Cherry Waves (Lyrics).mp3;Shoegaze Metal;9
088;Deftones - My Own Summer (Shove It) / Lyrics;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Deftones - My Own Summer (Shove It) / Lyrics.mp3;Nu Metal;9
089;Deftones - Change (In The House Of Flies);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Deftones - Change (In The House Of Flies).mp3;Nu Metal;9
090;Rio Romeo - Nothing's New (Lyrics);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Rio Romeo - Nothing's New (Lyrics).mp3;Indie Pop;8
091;Over & Over;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Over & Over.mp3;Alternative;7
092;Absence - Rio Romeo (Official Lyrics);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Absence - Rio Romeo (Official Lyrics).mp3;Indie Pop;8
093;Bet - Rio Romeo;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Bet - Rio Romeo.mp3;Indie Pop;7
094;Billie Eilish - What Was I Made For ? (Official Music Video);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Billie Eilish - What Was I Made For ? (Official Music Video).mp3;Pop Ballad;9
095;Billie Eilish - Happier Than Ever (Official Music Video);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Billie Eilish - Happier Than Ever (Official Music Video).mp3;Alternative Pop;9
096;Billie Eilish - idontwannabeyouanymore (Official Audio);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Billie Eilish - idontwannabeyouanymore (Official Audio).mp3;Alternative R&B;8
097;Billie Eilish - when the party's over;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Billie Eilish - when the party's over.mp3;Minimalist Pop;8
098;Billie Eilish - THE GREATEST (Official Lyric Video);C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Billie Eilish - THE GREATEST (Official Lyric Video).mp3;Alternative Pop;9
099;A Good Man with a Broken Heart;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\A Good Man with a Broken Heart.mp3;Pop Ballad;7
100;Bones - Oxygen;C:\Users\manue\Downloads\Mix_Bright-main\Mix Bright-main\SimpleMP3\Bones - Oxygen.mp3;Cloud Rap;8
